#
# The comments following the number sign "#" list the East_Asian_Width property
# value, followed by the Unicode character name or names.
#
# Code points that have the value O and the East_Asian_Width property value N or
# Na are omitted.
#
# @missing: 0000..10FFFF; O

0D85..0D96     ; N  # N   SINHALA LETTER AYANNA..SINHALA LETTER AUYANNA
0D9A..0DB1     ; N  # N   SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB     ; N  # N   SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD           ; N  # N   SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6     ; N  # N   SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DCA           ; N  # N   SINHALA SIGN AL-LAKUNA
0DCF..0DD4     ; N  # N   SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6           ; N  # N   SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8..0DDF     ; N  # N   SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN GAYANUKITTA
0DE6..0DEF     ; N  # N   SINHALA LITH DIGIT ZERO..SINHALA LITH DIGIT NINE
0DF2..0DF3     ; N  # N   SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0E01..0E3A     ; N  # N   THAI CHARACTER KO KAI..THAI CHARACTER PHINTHU
0E40..0E4E     ; N  # N   THAI CHARACTER SARA E..THAI CHARACTER YAMAKKAN
0E50..0E59     ; N  # N   THAI DIGIT ZERO..THAI DIGIT NINE
0E81..0E82     ; N  # N   LAO LETTER KO..LAO LETTER KHO SUNG
0E84           ; N  # N   LAO LETTER KHO TAM
0E86..0E8A     ; N  # N   LAO LETTER PALI GHA..LAO LETTER SO TAM
0E8C..0EA3     ; N  # N   LAO LETTER PALI JHA..LAO LETTER LO LING
0EA5           ; N  # N   LAO LETTER LO LOOT
0EA7..0EBD     ; N  # N   LAO LETTER WO..LAO SEMIVOWEL SIGN NYO
0EC0..0EC4     ; N  # N   LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC6           ; N  # N   LAO KO LA
